date,time,hour,tempF,temp
7/2/2018,15:53:00,15,93,33.88888889
7/2/2018,16:53:00,16,91,32.77777778
7/2/2018,17:53:00,17,90,32.22222222
7/2/2018,18:53:00,18,87,30.55555556
7/2/2018,19:53:00,19,85,29.44444444
7/2/2018,20:53:00,20,83,28.33333333
7/2/2018,21:53:00,21,82,27.77777778
7/2/2018,22:53:00,22,81,27.22222222
7/2/2018,23:53:00,23,79,26.11111111
7/3/2018,0:53:00,0,79,26.11111111
7/3/2018,1:53:00,1,79,26.11111111
7/3/2018,2:53:00,2,77,25
7/3/2018,3:53:00,3,77,25
7/3/2018,4:53:00,4,77,25
7/3/2018,5:53:00,5,77,25
7/3/2018,6:53:00,6,80,26.66666667
7/3/2018,7:51:00,7,82,27.77777778
7/3/2018,7:53:00,7,83,28.33333333
7/3/2018,8:17:00,8,83,28.33333333
7/3/2018,8:53:00,8,84,28.88888889
7/3/2018,9:53:00,9,88,31.11111111
7/3/2018,10:53:00,10,89,31.66666667
7/3/2018,11:53:00,11,91,32.77777778
7/3/2018,12:53:00,12,93,33.88888889
7/3/2018,13:53:00,13,94,34.44444444
7/3/2018,14:53:00,14,93,33.88888889
7/3/2018,15:53:00,15,95,35
7/3/2018,16:53:00,16,95,35
7/3/2018,17:53:00,17,94,34.44444444
7/3/2018,18:51:00,18,91,32.77777778
7/3/2018,18:53:00,18,92,33.33333333
7/3/2018,19:45:00,19,81,27.22222222
7/3/2018,19:53:00,19,80,26.66666667
7/3/2018,20:46:00,20,78,25.55555556
7/3/2018,20:53:00,20,78,25.55555556
7/3/2018,21:53:00,21,78,25.55555556
7/3/2018,22:53:00,22,77,25
7/3/2018,23:53:00,23,77,25
7/4/2018,0:53:00,0,76,24.44444444
7/4/2018,1:53:00,1,77,25
7/4/2018,2:53:00,2,76,24.44444444
7/4/2018,3:53:00,3,77,25
7/4/2018,4:53:00,4,78,25.55555556
7/4/2018,5:53:00,5,78,25.55555556
7/4/2018,6:24:00,6,78,25.55555556
7/4/2018,6:42:00,6,78,25.55555556
7/4/2018,6:49:00,6,75,23.88888889
7/4/2018,6:50:00,6,76,24.44444444
7/4/2018,7:05:00,7,75,23.88888889
7/4/2018,7:14:00,7,75,23.88888889
7/4/2018,7:16:00,7,75,23.88888889
7/4/2018,7:26:00,7,74,23.33333333
7/4/2018,7:35:00,7,74,23.33333333
7/4/2018,7:39:00,7,74,23.33333333
7/4/2018,7:40:00,7,74,23.33333333
7/4/2018,7:53:00,7,74,23.33333333
7/4/2018,8:09:00,8,74,23.33333333
7/4/2018,8:20:00,8,74,23.33333333
7/4/2018,8:29:00,8,74,23.33333333
7/4/2018,8:39:00,8,74,23.33333333
7/4/2018,8:51:00,8,73,22.77777778
7/4/2018,8:53:00,8,73,22.77777778
7/4/2018,9:53:00,9,73,22.77777778
7/4/2018,10:30:00,10,73,22.77777778
7/4/2018,10:39:00,10,73,22.77777778
7/4/2018,10:53:00,10,73,22.77777778
7/4/2018,11:31:00,11,73,22.77777778
7/4/2018,11:44:00,11,73,22.77777778
7/4/2018,11:53:00,11,73,22.77777778
7/4/2018,12:09:00,12,73,22.77777778
7/4/2018,12:18:00,12,73,22.77777778
7/4/2018,12:33:00,12,74,23.33333333
7/4/2018,12:41:00,12,74,23.33333333
7/4/2018,12:53:00,12,74,23.33333333
7/4/2018,13:29:00,13,74,23.33333333
7/4/2018,13:45:00,13,74,23.33333333
7/4/2018,13:53:00,13,74,23.33333333
7/4/2018,14:53:00,14,75,23.88888889
7/4/2018,15:53:00,15,76,24.44444444
7/4/2018,16:53:00,16,78,25.55555556
7/4/2018,17:53:00,17,78,25.55555556
7/4/2018,18:53:00,18,77,25
7/4/2018,19:53:00,19,76,24.44444444
7/4/2018,20:53:00,20,75,23.88888889
7/4/2018,21:53:00,21,75,23.88888889
7/4/2018,22:53:00,22,74,23.33333333
7/4/2018,23:53:00,23,75,23.88888889
7/5/2018,0:53:00,0,74,23.33333333
7/5/2018,1:53:00,1,75,23.88888889
7/5/2018,2:53:00,2,76,24.44444444
7/5/2018,3:53:00,3,75,23.88888889
7/5/2018,4:53:00,4,74,23.33333333
7/5/2018,5:53:00,5,75,23.88888889
7/5/2018,6:53:00,6,79,26.11111111
7/5/2018,7:53:00,7,82,27.77777778
7/5/2018,8:53:00,8,85,29.44444444
7/5/2018,9:53:00,9,86,30
7/5/2018,10:19:00,10,88,31.11111111
7/5/2018,10:53:00,10,88,31.11111111
7/5/2018,11:53:00,11,89,31.66666667
7/5/2018,12:53:00,12,84,28.88888889
